id,last_name,gender,ciudad,color,carmodel,shirtsize,currency,pais
1,Goundsy,Genderfluid,San Isidro,Aquamarine,G,S,Peso,Mexico
2,Gowing,Polygender,Miguel Hidalgo,Violet,Coupe Quattro,M,Peso,Mexico
3,Eldin,Female,Independencia,Pink,Integra,3XL,Peso,Mexico
4,Castellani,Non-binary,Guadalupe Victoria,Fuscia,Rally Wagon 3500,M,Peso,Mexico
5,Spurway,Female,Emiliano Zapata,Pink,Insight,2XL,Peso,Mexico
6,Killen,Non-binary,Revolucion,Maroon,Prius,3XL,Peso,Mexico
7,Langhorn,Male,La Aurora,Violet,Mazda5,L,Peso,Mexico
8,Janusz,Genderfluid,Lazaro Cardenas,Orange,A5,XS,Peso,Mexico
9,Cohan,Bigender,San Miguel,Violet,960,L,Peso,Mexico
10,Crosham,Agender,Bellavista,Blue,Tahoe,3XL,Peso,Mexico
11,McLanachan,Non-binary,Dante Delgado,Blue,Ram Wagon B250,L,Peso,Mexico
12,Carthy,Non-binary,San Francisco,Blue,Fairlane,M,Peso,Mexico
13,Robyns,Polygender,Vista Hermosa,Red,Tucson,S,Peso,Mexico
14,Toothill,Genderqueer,Cuauhtemoc,Khaki,Econoline E250,XL,Peso,Mexico
15,Rozec,Polygender,Santa Elena,Red,Prizm,XS,Peso,Mexico
16,Sabbatier,Non-binary,Alvaro Obregon,Yellow,Expedition EL,3XL,Peso,Mexico
17,Jaquemar,Female,Las Americas,Blue,Legacy,XL,Peso,Mexico
18,Windibank,Male,Rancho Nuevo,Pink,Rio,L,Peso,Mexico
19,Murcott,Male,Cuauhtemoc,Orange,Ranger,XL,Peso,Mexico
20,Oade,Female,El Capulin,Violet,F350,S,Peso,Mexico
21,Elsay,Male,Benito Juarez,Maroon,Mighty Max,XS,Peso,Mexico
22,Fontaine,Agender,Benito Juarez,Teal,Altima,XL,Peso,Mexico
23,Crossgrove,Bigender,Buenavista,Teal,Fit,XL,Peso,Mexico
24,Polfer,Male,Primero de Mayo,Red,Daytona,XS,Peso,Mexico
25,Perrin,Bigender,Buenavista,Pink,A4,XL,Peso,Mexico
26,MacNeely,Agender,La Esperanza,Blue,Viper,3XL,Peso,Mexico
27,Veasey,Non-binary,Guadalupe,Khaki,Vanagon,L,Peso,Mexico
28,Rarity,Bigender,San Miguel,Yellow,Quattro,S,Peso,Mexico
29,McCrone,Female,San Antonio,Crimson,Ram Van 2500,S,Peso,Mexico
30,Paddie,Polygender,Fovissste,Teal,Sienna,XL,Peso,Mexico
31,Virgoe,Agender,Miguel Hidalgo,Yellow,Chariot,XS,Peso,Mexico
32,Rustich,Genderqueer,Fovissste,Khaki,LTD Crown Victoria,XS,Peso,Mexico
33,Grundy,Non-binary,Lazaro Cardenas,Yellow,Silverado 1500,2XL,Peso,Mexico
34,Gauford,Bigender,San Jose,Goldenrod,Esteem,L,Peso,Mexico
35,McGraith,Agender,Emiliano Zapata,Purple,Azure,S,Peso,Mexico
36,Landeg,Female,Buenavista,Fuscia,ZX2,XL,Peso,Mexico
37,Skelbeck,Polygender,Benito Juarez,Puce,Ram 2500,3XL,Peso,Mexico
38,Greir,Non-binary,Lazaro Cardenas,Teal,3 Series,XS,Peso,Mexico
39,Nolder,Agender,Nueva Esperanza,Turquoise,Continental Mark VII,3XL,Peso,Mexico
40,Grimbaldeston,Bigender,Altavista,Green,SC,S,Peso,Mexico
41,Mitford,Polygender,Petrolera,Goldenrod,Regal,2XL,Peso,Mexico
42,Lampel,Genderfluid,Emiliano Zapata,Red,MX-5,XS,Peso,Mexico
43,Pandey,Male,El Paraiso,Mauv,Sunbird,3XL,Peso,Mexico
44,Zini,Male,Juan N Alvarez,Fuscia,Yukon XL 2500,M,Peso,Mexico
45,Bradder,Agender,Miguel Hidalgo,Teal,Bronco,XS,Peso,Mexico
46,Mattedi,Agender,San Francisco,Aquamarine,Intrepid,M,Peso,Mexico
47,Jemmett,Bigender,La Victoria,Green,500,S,Peso,Mexico
48,Haresign,Polygender,Miguel Hidalgo,Puce,Monte Carlo,S,Peso,Mexico
49,Hellis,Genderqueer,La Palma,Red,Rogue,S,Peso,Mexico
50,Corker,Non-binary,Independencia,Green,Neon,M,Peso,Mexico
51,Ackerley,Polygender,El Calvario,Indigo,Caprice,M,Peso,Mexico
52,Quadling,Genderfluid,Revolucion,Puce,Continental,XS,Peso,Mexico
53,Grindell,Genderfluid,Adolfo Lopez Mateos,Red,Uplander,M,Peso,Mexico
54,Blasing,Non-binary,La Victoria,Yellow,Mark VIII,XS,Peso,Mexico
55,Dunlap,Genderfluid,Fovissste,Purple,Golf,S,Peso,Mexico
56,Albers,Agender,Ricardo Flores Magon,Aquamarine,Thunderbird,3XL,Peso,Mexico
57,Jefferies,Male,La Soledad,Mauv,Aspen,3XL,Peso,Mexico
58,Barnby,Female,Ricardo Flores Magon,Red,Silverado,2XL,Peso,Mexico
59,Ingall,Agender,Santa Clara,Goldenrod,Insight,3XL,Peso,Mexico
60,Lintott,Female,La Loma,Indigo,Ram Van 3500,S,Peso,Mexico
61,Iddy,Bigender,Las Flores,Khaki,Mustang,2XL,Peso,Mexico
62,Kemwall,Female,Roma,Yellow,Rodeo,2XL,Peso,Mexico
63,Astridge,Female,Adolfo Lopez Mateos,Mauv,G-Class,XS,Peso,Mexico
64,Causey,Agender,Emiliano Zapata,Violet,Diablo,3XL,Peso,Mexico
