aplicacion,nombre_del_creador,dinero recaudado
Ronstring,Moss,3703
Zoolab,Jonie,6838
Voyatouch,Georg,5478
Konklab,Ivett,935
Home Ing,Dorene,7711
Alphazap,Raddie,3866
Subin,Stephani,5724
Stringtough,Ceciley,4976
Redhold,Nikkie,9390
Rank,Essie,896
Flexidy,Kipp,5223
Latlux,Paquito,1654
Domainer,Gavin,7445
Lotstring,Ramsay,1367
Fix San,Rodi,1128
Konklux,Taddeo,3730
Zoolab,Jarib,3885
Redhold,Melosa,1460
Bytecard,Walliw,157
Domainer,Quentin,8099
Voltsillam,Erie,8435
Home Ing,Olivero,6518
Voltsillam,Rachael,5076
Zamit,Rikki,2229
Vagram,Yvon,2926
Aerified,Vinnie,1549
Treeflex,Way,884
Regrant,Laurie,9646
Aerified,Samantha,8938
Treeflex,Yul,2510
Job,Prudence,1052
Ronstring,Catha,1954
Domainer,Brandea,3134
Zaam-Dox,Lanny,5476
Gembucket,Nicole,159
Bigtax,Florie,9505
Fixflex,Ave,9835
Aerified,Paulette,621
Subin,Hedvig,2814
Namfix,Johnath,9905
Lotlux,Jesse,3900
Holdlamis,Odele,4997
Cardguard,Gayle,9301
Otcom,Wendall,3951
Hatity,Kilian,4623
Hatity,Torrence,6527
Aerified,Job,1012
Toughjoyfax,Lorne,2511
Bitwolf,Amara,3139
Temp,Ben,7319
Duobam,Celine,2735
Ventosanzap,Stoddard,6936
Prodder,Kelly,3500
Tampflex,La verne,8954
Opela,Murvyn,7379
Holdlamis,Alexi,3474
Cardguard,Barbaraanne,4783
Overhold,Hunter,8751
Andalax,Bartolemo,431
Home Ing,Morley,2659
Solarbreeze,Orbadiah,3663
Daltfresh,Dulsea,8100
Mat Lam Tam,Andi,1105
Sonsing,Jesselyn,5053
Matsoft,Salem,5526
Flexidy,Henka,9903
Gembucket,Quent,1191
Bamity,Lynett,1534
Viva,Chiquia,809
Veribet,Charlena,698
Tampflex,Omero,9282
Bytecard,Francis,456
Pannier,Hyatt,6079
Temp,Salim,7019
Cookley,Carla,4403
Fintone,Andrea,5052
Alpha,Lorens,1201
Fix San,Davide,949
Kanlam,Kalie,1810
Redhold,Christin,6847
Namfix,Karleen,8968
Domainer,Laurence,3814
Stringtough,Mikael,7813
Stronghold,Gavra,4399
Pannier,Dyanna,428
Tres-Zap,Quintin,7968
Zamit,Brodie,8988
Cardguard,Henrie,6768
Veribet,Timotheus,1627
Zontrax,Leonie,7725
Holdlamis,Kristopher,4724
Bitchip,Edythe,8410
Ronstring,Timothee,6251
Namfix,Minna,4417
Rank,Selie,7115
Ronstring,Carolynn,5086
Sonsing,Rog,5506
Pannier,Charleen,5072
Domainer,Herschel,8590
Kanlam,Goldina,9985
Asoka,Verine,7356
Ventosanzap,Sisely,6420
Cardguard,Zed,5758
Vagram,Gracia,3439
Cardguard,Roderic,8233
Sub-Ex,Kathryne,4951
Vagram,Barn,2640
Zaam-Dox,Andrei,558
Transcof,Milicent,6337
Bitchip,Allan,822
Toughjoyfax,Bron,4866
Otcom,Lethia,2643
Sonair,Celisse,1995
Zamit,Gonzales,8270
Flexidy,Rosanne,9606
Gembucket,Elmo,9249
Bitwolf,Dina,5065
Tempsoft,Spenser,9022
Y-find,Kennith,3759
Cardify,Skipton,1599
Veribet,Noble,1837
Alphazap,Franklyn,7741
Zoolab,Kele,4354
Tres-Zap,Thom,7529
Y-find,Mirilla,4403
Solarbreeze,Wendi,9071
Solarbreeze,Cyrus,3331
Zaam-Dox,Diena,2651
Zontrax,Alysa,1215
Sonair,Renado,9525
Overhold,Phaedra,6529
Stim,Parke,4682
Rank,Shaun,682
Tres-Zap,Rori,7510
Ventosanzap,Vince,3043
Zontrax,Dacy,3024
Mat Lam Tam,Clyve,1063
Aerified,Myer,1890
Sonair,Justus,3331
Redhold,Orv,2481
Keylex,Violante,6349
Solarbreeze,Elise,1680
Holdlamis,Grannie,8763
Aerified,Terencio,8319
Konklab,Ashil,5443
Ventosanzap,Michaella,1582
Tin,Evin,9068
Zamit,Anson,9224
Veribet,Alexis,5432
Alphazap,Karmen,7154
Ventosanzap,Barbey,5980
Gembucket,Arlen,3880
Alphazap,Tandi,9474
Cookley,Kania,8320
Namfix,Conny,4738
Latlux,Dionisio,1151
Tin,Leigh,1092
Treeflex,Laird,6814
Bitchip,Zachery,7686
Matsoft,Chelsy,8643
Lotstring,Gustav,2550
Sub-Ex,Britta,4851
Tres-Zap,Cornelle,3241
Alpha,Susannah,3600
Alphazap,Cordula,3050
Asoka,Coop,2489
Lotlux,Beverley,5712
Bigtax,Maressa,2798
Stronghold,Chiarra,3880
Gembucket,Lester,4504
Veribet,Selle,3810
Wrapsafe,Yehudit,681
Zamit,Meggie,7200
Aerified,Kurt,7616
Veribet,Cozmo,6401
Ventosanzap,Lorita,4310
Konklux,Sylvia,5684
Duobam,Analise,9870
Sonsing,Timofei,6164
Namfix,Rosella,2882
Bytecard,Fitzgerald,2206
Redhold,Hilly,374
Fintone,Martynne,1735
Kanlam,Harrison,8102
Gembucket,Ravi,1900
Stringtough,Rem,7327
Alphazap,Kellyann,6973
Stringtough,Morten,5551
Greenlam,Lynelle,1587
Wrapsafe,Tabina,8976
Toughjoyfax,Trula,7170
Namfix,Harp,2926
Keylex,Tabbie,5263
Quo Lux,Sammie,1698
Stim,Jerome,7092
Cardify,Nolie,3020
Lotstring,Eliza,5856
Mat Lam Tam,Dari,9682
Asoka,Ivar,8478
Holdlamis,Lesley,8593
Zontrax,Charmian,4650
Ventosanzap,Caralie,1614
Hatity,Cori,6767
Y-find,Sansone,1801
Latlux,Morten,9372
Prodder,Lou,8679
Regrant,Domini,5451
Rank,Serge,6537
Daltfresh,Dwain,6645
Bitchip,Corella,721
Ventosanzap,Benny,9612
Namfix,Latisha,8639
Bigtax,Richardo,3062
Bitwolf,Penrod,1318
Hatity,Isobel,3050
Lotstring,Sarene,4750
Quo Lux,Gretchen,9017
Bitwolf,Bobbie,4188
Daltfresh,Theda,8278
Alphazap,Manda,8409
Stringtough,Jerrome,1770
Otcom,Shelba,2001
Sub-Ex,Sile,3291
Greenlam,Amii,1267
Regrant,Row,1593
Zathin,Flem,3162
Home Ing,Caro,6873
Prodder,Pattie,275
Zontrax,Hersch,3056
It,Helena,257
Voyatouch,Gil,4594
Flowdesk,Liuka,8366
Greenlam,Dorena,2876
Fix San,Jennie,4596
Solarbreeze,Allix,3961
Transcof,Kameko,8079
Solarbreeze,Melisse,740
Zamit,Jacobo,378
Vagram,Christiana,6556
It,Seka,473
Rank,Casandra,1634
Y-Solowarm,Chrysa,3563
Wrapsafe,Osbourne,3121
Sonsing,Krista,3317
Stronghold,Glynnis,3371
Fixflex,Holly,8687
Span,Sergeant,7437
Vagram,Kienan,5839
Matsoft,Omero,2065
Pannier,Lianne,6057
Prodder,Clovis,6064
Trippledex,Kanya,7465
Tempsoft,Niel,3817
Stim,Jerrie,2701
Zathin,Garey,6888
Namfix,Carver,8259
Lotlux,Manda,8738
Bamity,Constantina,1290
Mat Lam Tam,Audrie,8813
Tres-Zap,Romonda,8337
Temp,Eartha,3109
Ronstring,Felicia,7143
Ventosanzap,Elissa,6147
Opela,Sancho,9761
Fix San,Matthus,9543
Stronghold,Richard,3688
Overhold,Britteny,9454
Span,Beryle,7568
Aerified,Chadwick,1479
Vagram,Warren,4273
Hatity,Justis,114
Quo Lux,Rosalinda,9097
Voltsillam,Alissa,7885
Regrant,Rosalind,6965
Tres-Zap,Kareem,8880
Mat Lam Tam,Dee dee,8516
Opela,Romeo,493
Rank,Odie,8127
Stringtough,Sander,8052
Subin,Timmie,6973
Bitwolf,Fredek,6477
Holdlamis,Tome,4535
Konklab,Yuma,398
Stronghold,Zora,8787
Stim,Sissy,93
Opela,Sammy,3111
Tampflex,Millie,6656
Gembucket,Justus,9767
Keylex,Nessie,8186
Cardguard,Cozmo,1535
Alpha,Brose,3587
Rank,Lyndsey,6490
Mat Lam Tam,Rozele,3642
Fix San,Chandra,5025
Overhold,Sayer,7808
Toughjoyfax,Miguelita,8664
Cardify,Eddie,5425
Zathin,Gillie,5558
Tres-Zap,Jordon,5136
Y-find,Karim,1132
Duobam,Hugibert,5917
Treeflex,Renaldo,3615
Asoka,Delores,8399
Toughjoyfax,Don,6797
Fintone,Randolf,5417
Tempsoft,Papagena,2997
Lotstring,Etan,7971
Ronstring,Desmund,2071
Konklab,Darleen,1389
Fintone,Sebastien,9772
Flowdesk,Dexter,7430
Quo Lux,Blinny,8251
