id,nombre,apellido,genero,animalfavorito,sueldo
1,Lucas,Rawlings,Bigender,"Turkey, wild",1893.2
2,Florence,Hanwell,Female,Indian red admiral,2639.6
3,Renell,Cleall,Bigender,Tropical buckeye butterfly,4877.0
4,Calida,Crosskell,Female,"Woodcock, american",2344.5
5,Robby,Codd,Bigender,Stanley bustard,2739.2
6,Heidie,Brisseau,Genderfluid,"Shelduck, common",4998.0
7,Candis,Willson,Male,"Capuchin, brown",4175.2
8,Justino,Busek,Agender,"Sheathbill, snowy",3475.1
9,Tabatha,Dzenisenka,Polygender,Galapagos hawk,2657.5
10,Stormy,Brawley,Bigender,White-necked stork,4710.7
11,Tomkin,Acom,Genderfluid,"Creeper, black-tailed tree",1576.6
12,Bernadette,Brameld,Genderqueer,Nile crocodile,4546.1
13,Nessa,Horney,Genderqueer,Pig-tailed macaque,4313.2
14,Lion,Filippone,Genderfluid,"Lemur, sportive",1815.5
15,Willey,Tregunnah,Non-binary,"Turtle, long-necked",1663.0
16,Elihu,Willers,Polygender,Oriental short-clawed otter,2688.4
17,Annemarie,Grafton-Herbert,Genderfluid,Greater roadrunner,1631.3
18,Muffin,Caitlin,Female,"Sloth, two-toed",2961.1
19,Marie-ann,Kinnerley,Non-binary,Black-winged stilt,3938.7
20,Rodrigo,Endrighi,Bigender,"Lion, california sea",2461.0
21,Pincus,Giamuzzo,Male,Eurasian hoopoe,3314.7
22,Gisella,Linton,Non-binary,Indian peacock,4334.5
23,Barbara,Pruce,Non-binary,Wolf spider,4322.5
24,Urbain,Camili,Male,"Egret, snowy",1904.1
25,Corry,Akam,Non-binary,Collared lemming,4940.8
26,Danita,Hoyt,Bigender,"Flamingo, greater",4839.3
27,Reinald,O'Ferris,Genderfluid,Giant girdled lizard,4510.8
28,Sheelah,Geere,Genderqueer,"Booby, blue-footed",2377.6
29,Randi,Batson,Non-binary,"Bison, american",1748.1
30,Wylie,Elvins,Polygender,Tropical buckeye butterfly,4796.7
31,Jereme,Pennetti,Genderfluid,"Buffalo, american",2867.3
32,Kat,Fruen,Genderfluid,Purple moorhen,4696.0
33,Rafferty,Zwicker,Female,Asian elephant,3528.0
34,Livia,Shuker,Polygender,"Whale, long-finned pilot",2738.9
35,Odilia,Bennie,Male,"Shelduck, european",1552.3
36,Ted,Potte,Non-binary,"Lemur, sportive",4486.8
37,Oliver,Aust,Bigender,"Dunnart, fat-tailed",3259.7
38,Dal,Buttrey,Agender,"Crocodile, nile",3448.5
39,Audy,Hammett,Male,"Dragon, netted rock",2334.7
40,Bab,Swindells,Agender,Indian porcupine,2383.5
41,Gwen,Clinch,Non-binary,"Meerkat, red",3781.5
42,Ellette,McLeese,Bigender,"Barbet, black-collared",1834.4
43,Hillie,Feild,Agender,Eastern dwarf mongoose,2851.3
44,Clarey,Poxson,Genderqueer,"Dove, galapagos",3657.0
45,Brewer,Abys,Agender,"Colobus, white-mantled",3033.7
46,Jonathan,Bett,Male,"Dove, mourning collared",4807.0
47,Bax,Twist,Male,"Tortoise, burmese black mountain",1628.2
48,Richmound,Lante,Bigender,Sage hen,3893.2
49,Bradley,Gorthy,Agender,"Cormorant, pied",2246.6
50,Madlin,Barwack,Polygender,Groundhog,1724.0
51,Jacquetta,Lydiatt,Female,"Cockatoo, sulfur-crested",3165.0
52,Leola,Dowbekin,Agender,"Lion, mountain",3817.4
53,Crichton,Tureville,Agender,"Fox, grey",2794.0
54,Maurie,Bellam,Male,"Lizard, frilled",4564.5
55,Ariadne,Frankton,Bigender,"Rattlesnake, dusky",1536.0
56,Kinnie,Perfect,Male,"Swan, black",3432.8
57,Mabelle,Badsey,Female,Bottle-nose dolphin,4262.0
58,Andrus,Casemore,Genderqueer,Hyrax,3855.8
59,Julienne,Rodbourne,Male,Giraffe,2770.2
60,Brynn,Hullyer,Non-binary,Great horned owl,4671.9
61,Riannon,de Mullett,Genderqueer,"Skua, great",2328.4
62,Violette,Ellgood,Genderqueer,Azara's zorro,2935.9
63,Eduardo,Jerschke,Genderqueer,"Eagle, pallas's fish",3904.6
64,Erhard,Hawkyens,Agender,"Lion, asian",2176.3
65,Garth,Forder,Genderqueer,Ring-tailed possum,3642.1
66,Kylynn,Izod,Non-binary,Emu,4592.0
67,Lou,Scroggs,Female,"Antelope, four-horned",3495.1
68,Mariel,Metzing,Male,"Starfish, crown of thorns",3072.1
69,Cathrine,Giacovelli,Genderfluid,"Rhea, greater",4876.2
70,Genny,Lammiman,Male,"Teal, hottentot",2651.6
71,Nappy,Regnard,Female,Purple moorhen,1694.2
72,Brynna,Ansley,Genderfluid,Golden brush-tailed possum,3384.8
73,Jacinta,Swyre,Non-binary,Southern tamandua,2123.2
74,Marven,Bassett,Genderqueer,"Porcupine, african",3044.5
75,Annamaria,Tancock,Male,"Lemur, lesser mouse",3814.9
76,Michele,Kaines,Male,"Goose, knob-nosed",2453.2
77,Hillel,Soldner,Non-binary,"Weaver, lesser masked",3601.0
78,Shoshana,Carn,Female,"Plover, three-banded",1897.5
79,Herold,Poxson,Bigender,"Mongoose, javan gold-spotted",3731.6
80,Ambros,Ambroz,Bigender,Wattled crane,4095.2
81,Merna,Berget,Genderfluid,Savannah deer (unidentified),3653.6
82,Mary,Ervin,Non-binary,Slender-billed cockatoo,3827.9
83,Christiano,Dormer,Genderqueer,"Oryx, beisa",3320.5
84,Gusella,Margaritelli,Non-binary,"Oryx, fringe-eared",3229.4
85,Town,Eldershaw,Polygender,Four-horned antelope,4639.7
86,Rice,Vannoort,Non-binary,European wild cat,3656.1
87,Anabal,Andreone,Non-binary,"Cormorant, king",3373.8
88,Claire,Offell,Non-binary,"Wallaroo, common",4618.7
89,Marita,Balf,Non-binary,European stork,1728.0
90,Morton,Claiden,Genderqueer,"Tortoise, asian foreset",2992.2
91,Irwinn,Oby,Non-binary,Savanna fox,1572.7
92,Desirae,Jurkowski,Female,"Finch, common melba",4771.4
93,Alfi,Gemnett,Non-binary,"Armadillo, giant",2764.1
94,Analise,Lorking,Genderfluid,Pocket gopher (unidentified),2398.1
95,Margaretha,Cruickshanks,Genderqueer,"Siskin, yellow-rumped",4777.8
96,Berny,Blasi,Genderfluid,"Trumpeter, green-winged",2697.7
97,Adams,Spykings,Non-binary,"Bandicoot, southern brown",4512.3
98,Hymie,Coomes,Female,Great horned owl,2844.0
99,Leroy,Mulleary,Non-binary,"Partridge, coqui",4505.5
100,Guillema,Betchley,Female,Red-breasted nuthatch,4424.3
101,Darill,Riedel,Genderfluid,Wattled crane,4705.5
102,Whit,Slessar,Non-binary,"Langur, gray",2663.5
103,Teador,Klaggeman,Male,"Stork, yellow-billed",4935.7
104,Ruthy,Jolliman,Bigender,"Sloth, two-toed tree",3346.5
