$1.95,Marin Doddemeede,Male
$5.08,Mattie Dowdney,Female
$1.59,Marni Halburton,Female
$0.02,Jeramey Beadon,Female
$3.60,Nanice Dyble,Female
$4.07,Benedetta Teml,Female
$9.88,Teresa Creddon,Male
$2.92,Magdaia Wesgate,Male
$1.74,Curran Paradyce,Female
$1.32,Cassandre Mitkcov,Male
$1.54,Arly Antonioni,Male
$2.64,Alwyn Castelijn,Female
$3.46,Carmel Hughs,Female
$5.92,Marlene Purnell,Female
$7.75,Doralyn Peterkin,Female
$7.73,Tobit Bonanno,Male
$7.06,Kerstin Fittes,Male
$5.46,Jacinta Aitchison,Male
$8.75,Ashleigh Ferneyhough,Male
$1.67,Rice Mellers,Female
$1.50,Walsh Edmonds,Female
$9.16,Valentijn Pittoli,Male
$0.24,Noni Akast,Male
$6.80,Daffie Scholl,Female
$0.20,Ida Litton,Male
$4.25,Jessika Reinert,Male
$4.78,Livvie Hainsworth,Male
$5.58,Kitti Stiffkins,Female
$2.61,Evan Lowndesbrough,Male
$3.41,Ashli Ladd,Female
$9.14,Marya Buesnel,Male
$2.85,Karalee Dorro,Female
$8.18,Sile Sculpher,Female
$6.63,Josee Ghioni,Female
$4.35,Gena Rikkard,Female
$2.60,Uta Mizzi,Male
$3.80,Lurleen Sterricks,Female
$8.64,Shana Lequeux,Female
$6.16,Cobbie Bartell,Female
$3.77,Chloette Chessun,Female
$6.77,Wilburt Thornborrow,Male
$6.66,Gib Crannell,Male
$6.79,Sydney Courage,Male
$1.23,Kathryn Dumphry,Male
$3.33,Gretchen Durrance,Male
$4.61,Quintin Woodings,Female
$3.44,Sadella Boyan,Male
$0.72,Lance Spragge,Female
$5.09,Malachi Nowell,Female
$2.03,Inglis Offill,Female
$4.37,Manon Briston,Male
$6.51,Tomkin Gabrieli,Male
$7.59,Florina Blythin,Male
$4.98,Gasper Pablo,Female
$9.62,Gearalt Sharratt,Female
$4.81,Skyler Schiesterl,Male
$9.47,Sig Izchaki,Male
$8.53,Lynelle Flott,Male
$4.21,Shem Crevy,Female
$9.92,Nina Lukehurst,Female
$1.20,Donnajean Horick,Female
$5.22,Latashia Messham,Male
$3.11,Brittne Bebbington,Male
$8.50,Godart Spencelayh,Female
$3.74,Octavia Rennocks,Male
$8.32,Sven Edmons,Female
$2.22,Leilah Legh,Male
$1.25,Addy Pochin,Male
$5.31,Leela Welsby,Female
$3.55,Chrystal Pennrington,Female
$6.53,Al Turfin,Male
$8.07,Estelle Inold,Female
$5.52,Teodora McIlhatton,Male
$3.27,Miranda Freda,Female
$9.49,Hermie Stubbley,Male
$8.77,Giacobo Edmons,Female
$2.16,Sadye Menear,Male
$8.58,Amandie Johnikin,Male
$4.25,Amelita Fidge,Male
$5.35,Valentijn Lambregts,Male
$1.13,Garreth Saunderson,Male
$9.53,Celinda Farlam,Female
$2.64,Tally O'Sullivan,Male
$9.04,Cornelius Stebbings,Female
$2.65,Berkeley Bainbridge,Female
$9.06,Heloise Ennever,Female
$3.05,Talbert Flukes,Male
$1.85,Osbourne Charer,Male
$5.58,Travers Crombleholme,Female
$6.60,Melosa Haining,Female
$4.57,Hanson Tuffs,Female
$1.92,Allyn Covendon,Male
$9.17,Vicky Bartholomieu,Male
$6.84,Marco Grisbrook,Female
$8.21,Floyd Smithe,Female
$4.58,Callie Snalham,Male
$6.63,Yuri Esterbrook,Female
$1.88,Jared Goter,Female
$7.73,Gabby Peel,Female
$3.87,Mickie Head,Male
